ingredient,pairings
caviar (n. moledules),"['butter', 'soybean', 'beer', 'rice', 'tomato', 'tea', 'fatty fish', 'swiss cheese', 'pork', 'cheddar cheese']"
caviar (word emb.),"['chervil', 'sorrel', 'watercress', 'tarragon', 'dill', 'horseradish', 'smoked fish', 'champagne', 'crab', 'chive']"
celery (weighted),"['parsley', 'carrot', 'fennel', 'coriander', 'lemon', 'black pepper', 'dill', 'lime', 'mandarin orange', 'sunflower']"
celery (n. moledules),"['black pepper', 'spearmint', 'dill', 'orange', 'ginger', 'tea', 'carrot', 'lemon', 'parsley', 'coriander']"
celery (word emb.),"['turnip', 'lima beans', 'rutabaga', 'parsnip', 'green beans', 'marjoram', 'cabbage', 'kohlrabi', 'white wine', 'peas']"
chamomile (weighted),"['angelica', 'sage', 'mint', 'cumin', 'tarragon', 'lemon grass', 'turmeric', 'summer savory', 'spearmint', 'saffron']"
chamomile (n. moledules),"['spearmint', 'basil', 'ginger', 'guava', 'laurel', 'apple', 'tea', 'rosemary', 'black currant', 'mango']"
chamomile (word emb.),"['lemon balm', 'eucalyptus', 'bergamot', 'black tea', 'green tea', 'geranium', 'lavender', 'citrus zest', 'black currant', 'citrus']"
champagne (weighted),"['plum wine', 'rose wine', 'strawberry wine', 'port wine', 'sparkling wine', 'red wine', 'sherry', 'white wine', 'wine', 'blue cheese']"
champagne (n. moledules),"['wine', 'strawberry wine', 'port wine', 'plum wine', 'red wine', 'sparkling wine', 'sherry', 'rose wine', 'white wine', 'beer']"
champagne (word emb.),"['grapefruit', 'watercress', 'endive', 'chervil', 'tangerine', 'citrus', 'tarragon', 'sparkling wine', 'chicory', 'kumquat']"
chard (weighted),"['turnip', 'dates', 'dandelion', 'chicory', 'japanese pumpkin', 'zucchini', 'rye', 'mung bean', 'horseradish', 'rutabaga']"
chard (n. moledules),"['turnip', 'beetroot', 'zucchini', 'parsnip', 'eggplant', 'lettuce', 'broccoli', 'green beans', 'cucumber', 'oats']"
chard (word emb.),"['leek', 'artichoke', 'romano cheese', 'dandelion', 'brussels sprout', 'truffle', 'turnip', 'rosemary', 'zucchini', 'eggplant']"
cheddar cheese (weighted),"['swiss cheese', 'blue cheese', 'cream cheese', 'cottage cheese', 'munster cheese', 'roquefort cheese', 'romano cheese', 'emmental cheese', 'mozzarella cheese', 'goat cheese']"
cheddar cheese (n. moledules),"['blue cheese', 'swiss cheese', 'parmesan cheese', 'cottage cheese', 'provolone cheese', 'camembert cheese', 'cream cheese', 'romano cheese', 'gruyere cheese', 'feta cheese']"
cheddar cheese (word emb.),"['cheese', 'swiss cheese', 'turkey', 'provolone cheese', 'macaroni', 'mozzarella cheese', 'munster cheese', 'gruyere cheese', 'parmesan cheese', 'ham']"
cheese (weighted),"['munster cheese', 'romano cheese', 'roquefort cheese', 'goat cheese', 'mozzarella cheese', 'emmental cheese', 'feta cheese', 'cream cheese', 'sheep cheese', 'comte cheese']"
cheese (n. moledules),"['emmental cheese', 'romano cheese', 'gruyere cheese', 'goat cheese', 'parmesan cheese', 'roquefort cheese', 'swiss cheese', 'feta cheese', 'provolone cheese', 'mozzarella cheese']"
cheese (word emb.),"['cheddar cheese', 'parmesan cheese', 'mozzarella cheese', 'swiss cheese', 'provolone cheese', 'gruyere cheese', 'romano cheese', 'turkey', 'goat cheese', 'feta cheese']"
cherimoya (weighted),"['gooseberry', 'lentils', 'pistachio', 'chickpea', 'cashew nut', 'hazelnut', 'rhubarb', 'sunflower', 'brazil nut', 'tamarind']"
cherimoya (n. moledules),"['tea', 'apple', 'grape', 'apricot', 'tomato', 'plum', 'mango', 'papaya', 'strawberry', 'orange']"
cherimoya (word emb.),"['soursop', 'blackberry brandy', 'feijoa', 'litchi', 'canadian whisky', 'japanese whisky', 'satsuma orange', 'white currant', 'malt whisky', 'pummelo']"
cherry (weighted),"['japanese persimmon', 'carob', 'borage', 'arrowroot', 'pistachio', 'capers', 'ginkgo nuts', 'kelp', 'wasabi', 'black raspberry']"
cherry (n. moledules),"['apple', 'tomato', 'pineapple', 'banana', 'black currant', 'grape', 'strawberry', 'tea', 'apricot', 'pear']"
cherry (word emb.),"['gooseberry', 'strawberry', 'raspberry', 'rose wine', 'kiwifruit', 'passionfruit', 'blackberry brandy', 'brazil nut', 'red raspberry', 'cherry brandy']"
cherry brandy (weighted),"['brandy', 'blackberry brandy', 'raspberry brandy', 'plum brandy', 'pear brandy', 'apple brandy', 'canadian whisky', 'malt whisky', 'japanese whisky', 'rose wine']"
cherry brandy (n. moledules),"['apple brandy', 'plum brandy', 'brandy', 'pear brandy', 'raspberry brandy', 'blackberry brandy', 'sherry', 'white wine', 'chocolate', 'red wine']"
cherry brandy (word emb.),"['sour cherry', 'blackberry brandy', 'red raspberry', 'black raspberry', 'cherimoya', 'passionfruit', 'scotch whisky', 'elderberry', 'gooseberry', 'angelica']"
chervil (weighted),"['alfalfa', 'artichoke', 'cassava', 'lentils', 'rye', 'pumpkin', 'dates', 'mung bean', 'japanese pumpkin', 'chickpea']"
chervil (n. moledules),"['fennel', 'black pepper', 'nutmeg', 'parsley', 'quince', 'mushroom', 'avocado', 'celery', 'kumquat', 'mustard']"
chervil (word emb.),"['sorrel', 'caviar', 'tarragon', 'truffle', 'lovage', 'dandelion', 'endive', 'asparagus', 'champagne', 'watercress']"
chestnut (weighted),"['sorrel', 'lentils', 'chickpea', 'pistachio', 'alfalfa', 'chervil', 'cashew nut', 'artichoke', 'japanese pumpkin', 'cassava']"
chestnut (n. moledules),"['zucchini', 'apricot', 'grape', 'lettuce', 'olive', 'cashew nut', 'pecan', 'kiwifruit', 'quince', 'orange']"
chestnut (word emb.),"['port wine', 'truffle', 'rutabaga', 'parsnip', 'shiitake', 'brussels sprout', 'sage', 'hazelnut', 'camembert cheese', 'gruyere cheese']"
chicken (weighted),"['beef', 'pork', 'butter', 'turkey', 'crab', 'milk', 'cheese', 'egg', 'shrimp', 'wholewheat bread']"
chicken (n. moledules),"['pork', 'tea', 'beer', 'potato', 'soybean', 'coffee', 'peanut butter', 'peanut', 'beef', 'tomato']"
chicken (word emb.),"['cabbage', 'green beans', 'beef', 'peas', 'mung bean', 'turnip', 'cauliflower', 'pork', 'scallop', 'oyster']"
chickpea (weighted),"['lentils', 'alfalfa', 'pistachio', 'cashew nut', 'chervil', 'chestnut', 'japanese persimmon', 'zucchini', 'brussels sprout', 'hazelnut']"
chickpea (n. moledules),"['pepper', 'almond', 'apple', 'cucumber', 'eggplant', 'lettuce', 'orange', 'broccoli', 'tomato', 'green beans']"
chickpea (word emb.),"['lentils', 'basmati rice', 'lamb', 'fenugreek', 'paneer', 'turmeric', 'asafoetida', 'nigella seed', 'kidney beans', 'olive']"
chicory (weighted),"['chard', 'dates', 'dandelion', 'turnip', 'mung bean', 'japanese pumpkin', 'horseradish', 'rutabaga', 'watercress', 'garden cress']"
chicory (n. moledules),"['apple', 'grape', 'chocolate', 'cocoa', 'tea', 'tomato', 'rice', 'potato', 'peanut butter', 'peanut']"
chicory (word emb.),"['endive', 'dandelion', 'roquefort cheese', 'watercress', 'beetroot', 'champagne', 'blue cheese', 'lovage', 'hazelnut', 'tarragon']"
chive (weighted),"['watercress', 'dandelion', 'mung bean', 'garden cress', 'garlic', 'rutabaga', 'dates', 'japanese pumpkin', 'alfalfa', 'brussels sprout']"
chive (n. moledules),"['onion', 'garlic', 'leek', 'tea', 'cabbage', 'shallot', 'potato', 'peanut butter', 'green beans', 'peanut']"
chive (word emb.),"['watercress', 'chervil', 'tarragon', 'sorrel', 'endive', 'caviar', 'asparagus', 'crab', 'dill', 'dandelion']"
chocolate (weighted),"['cocoa', 'vanilla', 'pecan', 'soybean', 'rice', 'apple', 'banana', 'peanut', 'pineapple', 'beans']"
chocolate (n. moledules),"['cocoa', 'tea', 'apple', 'grape', 'guava', 'potato', 'soybean', 'peanut butter', 'peanut', 'mango']"
chocolate (word emb.),"['vanilla', 'cocoa', 'cloudberry', 'banana', 'carob', 'peppermint', 'dates', 'coffee', 'sour cherry', 'sheep milk']"
cider (weighted),"['apple brandy', 'white wine', 'gruyere cheese', 'malt whisky', 'rose wine', 'champagne', 'port wine', 'plum wine', 'scotch whisky', 'roquefort cheese']"
cider (n. moledules),"['white wine', 'apple', 'rum', 'sherry', 'red wine', 'port wine', 'beer', 'sparkling wine', 'strawberry wine', 'malt whisky']"
cider (word emb.),"['beetroot', 'lingonberry', 'grape', 'port wine', 'pork', 'champagne', 'malt', 'caraway', 'kohlrabi', 'mustard']"
cinnamon (weighted),"['nutmeg', 'black pepper', 'lime', 'ginger', 'fennel', 'star anise', 'lemon', 'clove', 'cassia', 'coriander']"
cinnamon (n. moledules),"['black pepper', 'laurel', 'ginger', 'rosemary', 'basil', 'nutmeg', 'oregano', 'cassia', 'tea', 'marjoram']"
cinnamon (word emb.),"['dates', 'currant', 'cardamom', 'mace', 'rum', 'vanilla', 'pumpkin', 'apricot', 'apple brandy', 'allspice']"
citronella (weighted),"['lavender', 'geranium', 'sassafras', 'citrus zest', 'japanese whisky', 'eucalyptus', 'white wine', 'bourbon whisky', 'canadian whisky', 'scotch whisky']"
citronella (n. moledules),"['tea', 'papaya', 'tomato', 'mango', 'lovage', 'laurel', 'lemon grass', 'passionfruit', 'orange', 'strawberry']"
citronella (word emb.),"['valerian', 'bilberry', 'wheaten bread', 'pummelo', 'japanese whisky', 'canadian whisky', 'white currant', 'cloudberry', 'japanese persimmon', 'feijoa']"
citrus (weighted),"['citrus zest', 'bitter orange', 'eucalyptus', 'bartlett pear', 'myrtle', 'raisin', 'rose wine', 'plum wine', 'lavender', 'corn oil']"
citrus (n. moledules),"['orange', 'citrus zest', 'guava', 'lemon', 'coriander', 'cardamom', 'ginger', 'lime', 'black currant', 'mango']"
citrus (word emb.),"['tangerine', 'kumquat', 'lemon balm', 'grapefruit', 'rose wine', 'green tea', 'sparkling wine', 'chamomile', 'citrus zest', 'black tea']"
citrus zest (weighted),"['citrus', 'eucalyptus', 'bartlett pear', 'myrtle', 'mace', 'corn oil', 'citronella', 'lavender', 'ricotta cheese', 'cardamom']"
citrus zest (n. moledules),"['orange', 'tea', 'coriander', 'lemon', 'lime', 'ginger', 'cardamom', 'mandarin orange', 'guava', 'mango']"
citrus zest (word emb.),"['chamomile', 'green tea', 'lemon balm', 'grapefruit zest', 'tangerine', 'geranium', 'citrus', 'sour cherry', 'bergamot', 'angelica']"
clam (weighted),"['mate', 'egg', 'gruyere cheese', 'cream cheese', 'swiss cheese', 'munster cheese', 'cheddar cheese', 'comte cheese', 'camembert cheese', 'emmental cheese']"
clam (n. moledules),"['tea', 'soybean', 'beer', 'potato', 'mushroom', 'rice', 'cocoa', 'chocolate', 'coffee', 'swiss cheese']"
clam (word emb.),"['squid', 'cod', 'scallop', 'okra', 'crayfish', 'crab', 'shrimp', 'white pepper', 'white wine', 'saffron']"
cloudberry (weighted),"['carob', 'kelp', 'capers', 'borage', 'arrowroot', 'lotus', 'japanese persimmon', 'water chestnut', 'wasabi', 'shallot']"
cloudberry (n. moledules),"['cranberry', 'grape', 'tomato', 'guava', 'tea', 'apple', 'black currant', 'chocolate', 'cocoa', 'mango']"
cloudberry (word emb.),"['bilberry', 'sapodilla', 'valerian', 'pummelo', 'wheaten bread', 'citronella', 'japanese whisky', 'white currant', 'sheep milk', 'loganberry']"
clove (weighted),"['cinnamon', 'black pepper', 'nutmeg', 'anise', 'cumin', 'laurel', 'allspice', 'star anise', 'basil', 'ginger']"
clove (n. moledules),"['ginger', 'black pepper', 'basil', 'laurel', 'cinnamon', 'rosemary', 'tea', 'nutmeg', 'oregano', 'marjoram']"
clove (word emb.),"['mace', 'allspice', 'quince', 'currant', 'black tea', 'apricot', 'apple brandy', 'rhubarb', 'cassia', 'red currant']"
cocoa (weighted),"['chocolate', 'vanilla', 'soybean', 'apple', 'peanut', 'pecan', 'rice', 'banana', 'grape', 'pineapple']"
cocoa (n. moledules),"['chocolate', 'tea', 'apple', 'grape', 'soybean', 'guava', 'potato', 'peanut butter', 'peanut', 'tomato']"
cocoa (word emb.),"['licorice', 'peppermint', 'chocolate', 'milk fat', 'coffee', 'banana', 'oats', 'sapodilla', 'raspberry brandy', 'whisky']"
coconut (weighted),"['sesame', 'bread', 'flaxseed', 'leek', 'artichoke', 'rye', 'cassava', 'kumquat', 'dates', 'pumpkin']"
coconut (n. moledules),"['tea', 'papaya', 'guava', 'apple', 'mushroom', 'rice', 'cocoa', 'chocolate', 'soybean', 'mango']"
coconut (word emb.),"['tamarind', 'papaya', 'cashew nut', 'jasmine', 'lemon grass', 'asafoetida', 'banana', 'fir', 'curry leaf', 'lime zest']"
cod (weighted),"['turkey', 'soy sauce', 'buttermilk', 'milk powder', 'yogurt', 'wholewheat bread', 'gin', 'crab', 'oyster', 'beef']"
cod (n. moledules),"['soybean', 'chicken', 'beef', 'rutabaga', 'cabbage', 'grapefruit', 'coconut', 'celery', 'pork', 'bread']"
cod (word emb.),"['squid', 'clam', 'scallop', 'shrimp', 'salmon', 'crab', 'crayfish', 'capers', 'shallot', 'oyster']"
coffee (weighted),"['cocoa', 'chocolate', 'beer', 'milk', 'rum', 'peanut butter', 'swiss cheese', 'cheese', 'peanut', 'egg']"
coffee (n. moledules),"['tea', 'cocoa', 'chocolate', 'beer', 'peanut', 'peanut butter', 'potato', 'tomato', 'soybean', 'grape']"
coffee (word emb.),"['peppermint', 'licorice', 'cocoa', 'chocolate', 'cherry brandy', 'vanilla', 'sour cherry', 'milk fat', 'malt', 'red raspberry']"
comte cheese (weighted),"['provolone cheese', 'emmental cheese', 'camembert cheese', 'munster cheese', 'roquefort cheese', 'romano cheese', 'cream cheese', 'mozzarella cheese', 'goat cheese', 'cottage cheese']"
comte cheese (n. moledules),"['provolone cheese', 'camembert cheese', 'blue cheese', 'cheddar cheese', 'parmesan cheese', 'swiss cheese', 'limburger cheese', 'gruyere cheese', 'mozzarella cheese', 'goat cheese']"
comte cheese (word emb.),"['emmental cheese', 'limburger cheese', 'gruyere cheese', 'camembert cheese', 'lean fish', 'wheaten bread', 'japanese pumpkin', 'sheep cheese', 'munster cheese', 'garden cress']"
coriander (weighted),"['fennel', 'lime', 'lemon', 'dill', 'parsley', 'oregano', 'black pepper', 'celery', 'cumin', 'thyme']"
coriander (n. moledules),"['tea', 'dill', 'ginger', 'orange', 'lemon', 'basil', 'celery', 'laurel', 'black pepper', 'marjoram']"
coriander (word emb.),"['fenugreek', 'basmati rice', 'tamarind', 'curry leaf', 'nigella seed', 'cardamom', 'turmeric', 'lentils', 'lamb', 'mustard oil']"
corn (weighted),"['fig', 'wheat', 'olive oil', 'walnut', 'oats', 'broccoli', 'zucchini', 'beetroot', 'pistachio', 'brazil nut']"
corn (n. moledules),"['tea', 'potato', 'grape', 'rice', 'fig', 'cocoa', 'chocolate', 'tomato', 'pepper', 'guava']"
corn (word emb.),"['wasabi', 'beer', 'sake', 'bonito', 'canola oil', 'rice', 'burdock', 'lotus', 'soybean', 'pork']"
corn oil (weighted),"['fish', 'raisin', 'white wine', 'milk', 'gruyere cheese', 'butter', 'plum wine', 'malt', 'rose wine', 'kidney beans']"
corn oil (n. moledules),"['tea', 'white wine', 'grape', 'apple', 'beer', 'rice', 'guava', 'rum', 'sparkling wine', 'lima beans']"
corn oil (word emb.),"['canola oil', 'peanut oil', 'curry leaf', 'soybean oil', 'tamarind', 'asafoetida', 'soybean', 'okra', 'bonito', 'lemon grass']"
cottage cheese (weighted),"['cream cheese', 'mozzarella cheese', 'emmental cheese', 'munster cheese', 'limburger cheese', 'romano cheese', 'roquefort cheese', 'provolone cheese', 'comte cheese', 'goat cheese']"
cottage cheese (n. moledules),"['blue cheese', 'cheddar cheese', 'parmesan cheese', 'cream cheese', 'provolone cheese', 'feta cheese', 'sheep cheese', 'swiss cheese', 'gruyere cheese', 'emmental cheese']"
cottage cheese (word emb.),"['ricotta cheese', 'cream cheese', 'provolone cheese', 'bread', 'rye bread', 'milk', 'wheaten bread', 'mozzarella cheese', 'bilberry', 'rocket salad']"
cottonseed (weighted),"['mung bean', 'japanese pumpkin', 'dates', 'dandelion', 'pistachio', 'garden cress', 'chard', 'hazelnut', 'chicory', 'sweet potato']"
cottonseed (n. moledules),"['black pepper', 'black currant', 'orange', 'laurel', 'carrot', 'celery', 'guava', 'rosemary', 'lemon', 'tea']"
cottonseed (word emb.),"['limburger cheese', 'sapodilla', 'pummelo', 'fatty fish', 'garden cress', 'valerian', 'durian', 'bilberry', 'munster cheese', 'japanese whisky']"
crab (weighted),"['egg', 'milk', 'shrimp', 'butter', 'crayfish', 'cheese', 'chicken', 'rum', 'cod', 'milk powder']"
crab (n. moledules),"['rice', 'beer', 'mushroom', 'soybean', 'tea', 'potato', 'coffee', 'butter', 'cocoa', 'chocolate']"
crab (word emb.),"['crayfish', 'scallop', 'salmon', 'squid', 'clam', 'cod', 'caviar', 'horseradish', 'smoked fish', 'white pepper']"
cranberry (weighted),"['lingonberry', 'brazil nut', 'walnut', 'gooseberry', 'pistachio', 'almond', 'zucchini', 'hazelnut', 'rhubarb', 'beetroot']"
cranberry (n. moledules),"['tea', 'strawberry', 'mango', 'tomato', 'apple', 'grape', 'guava', 'bilberry', 'raspberry', 'papaya']"
cranberry (word emb.),"['dates', 'fig', 'apple brandy', 'bartlett pear', 'peach', 'vanilla', 'currant', 'rhubarb', 'pecan', 'banana']"
crayfish (weighted),"['oyster', 'crab', 'shrimp', 'egg', 'scallop', 'gin', 'milk', 'cheese', 'rum', 'butter']"
crayfish (n. moledules),"['tea', 'rice', 'soybean', 'potato', 'beer', 'rum', 'corn', 'cocoa', 'milk', 'guava']"
crayfish (word emb.),"['crab', 'scallop', 'squid', 'clam', 'smoked fish', 'caviar', 'cod', 'chervil', 'truffle', 'chive']"
cream cheese (weighted),"['cottage cheese', 'munster cheese', 'emmental cheese', 'roquefort cheese', 'mozzarella cheese', 'comte cheese', 'romano cheese', 'goat cheese', 'limburger cheese', 'provolone cheese']"
cream cheese (n. moledules),"['cottage cheese', 'cheddar cheese', 'parmesan cheese', 'blue cheese', 'cheese', 'swiss cheese', 'goat cheese', 'gruyere cheese', 'feta cheese', 'provolone cheese']"
cream cheese (word emb.),"['cottage cheese', 'milk', 'white currant', 'egg', 'japanese whisky', 'skimmed milk', 'ricotta cheese', 'canadian whisky', 'limburger cheese', 'wheaten bread']"
cucumber (weighted),"['lettuce', 'beetroot', 'zucchini', 'eggplant', 'wheat', 'pistachio', 'cashew nut', 'turnip', 'chard', 'dandelion']"
cucumber (n. moledules),"['green beans', 'carrot', 'apple', 'tomato', 'lettuce', 'tea', 'mango', 'pepper', 'potato', 'peas']"
cucumber (word emb.),"['radish', 'cabbage', 'watercress', 'grapefruit', 'lettuce', 'lime', 'capers', 'alfalfa', 'mung bean', 'avocado']"
cumin (weighted),"['turmeric', 'sage', 'anise', 'saffron', 'summer savory', 'marjoram', 'star anise', 'thyme', 'tarragon', 'fennel']"
cumin (n. moledules),"['black pepper', 'laurel', 'rosemary', 'ginger', 'nutmeg', 'cinnamon', 'spearmint', 'oregano', 'marjoram', 'star anise']"
cumin (word emb.),"['paneer', 'mustard oil', 'basmati rice', 'fenugreek', 'asafoetida', 'curry leaf', 'tamarind', 'chickpea', 'kidney beans', 'lamb']"
currant (weighted),"['white currant', 'bourbon whisky', 'canadian whisky', 'japanese whisky', 'scotch whisky', 'cider', 'swiss cheese', 'camembert cheese', 'malt whisky', 'whisky']"
currant (n. moledules),"['white currant', 'black currant', 'red currant', 'tea', 'guava', 'rum', 'papaya', 'plum', 'pineapple', 'soybean']"
currant (word emb.),"['dates', 'fig', 'apricot', 'pistachio', 'quince', 'mace', 'persimmon', 'brazil nut', 'cinnamon', 'bartlett pear']"
curry leaf (weighted),"['nigella seed', 'asafoetida', 'fir', 'citrus zest', 'eucalyptus', 'citrus', 'white pepper', 'mace', 'myrtle', 'caraway']"
curry leaf (n. moledules),"['spearmint', 'dill', 'rosemary', 'lemon', 'black pepper', 'ginger', 'oregano', 'cardamom', 'laurel', 'allspice']"
curry leaf (word emb.),"['asafoetida', 'mustard oil', 'fenugreek', 'tamarind', 'cassia', 'nigella seed', 'cashew nut', 'paneer', 'basmati rice', 'lemon grass']"
dandelion (weighted),"['chard', 'dates', 'chicory', 'mung bean', 'turnip', 'horseradish', 'watercress', 'japanese pumpkin', 'alfalfa', 'garden cress']"
dandelion (n. moledules),"['carrot', 'garlic', 'soybean', 'grape', 'fennel', 'corn', 'apple', 'pomegranate', 'green beans', 'fig']"
dandelion (word emb.),"['chicory', 'endive', 'beetroot', 'lovage', 'sorrel', 'kohlrabi', 'watercress', 'chervil', 'roquefort cheese', 'tarragon']"
dates (weighted),"['chard', 'dandelion', 'chicory', 'turnip', 'rye', 'japanese pumpkin', 'mung bean', 'horseradish', 'garden cress', 'alfalfa']"
dates (n. moledules),"['corn', 'carrot', 'guava', 'oats', 'eggplant', 'peas', 'fig', 'buckwheat', 'melon', 'rice']"
dates (word emb.),"['brazil nut', 'currant', 'carob', 'fig', 'oats', 'cranberry', 'vanilla', 'persimmon', 'pistachio', 'apricot']"
dill (weighted),"['fennel', 'coriander', 'lemon', 'parsnip', 'lime', 'parsley', 'black pepper', 'basil', 'celery', 'carrot']"
dill (n. moledules),"['black pepper', 'ginger', 'spearmint', 'celery', 'laurel', 'coriander', 'tea', 'rosemary', 'basil', 'lemon']"
dill (word emb.),"['horseradish', 'caviar', 'tarragon', 'chive', 'chervil', 'sorrel', 'radish', 'capers', 'asparagus', 'kohlrabi']"
durian (weighted),"['water chestnut', 'wasabi', 'arrowroot', 'kelp', 'cassava', 'carob', 'borage', 'jackfruit', 'japanese persimmon', 'feijoa']"
durian (n. moledules),"['peanut butter', 'peanut', 'tea', 'tomato', 'mushroom', 'potato', 'apple', 'soybean', 'cocoa', 'chocolate']"
durian (word emb.),"['sapodilla', 'japanese whisky', 'bilberry', 'valerian', 'feijoa', 'canadian whisky', 'wild cherry', 'cloudberry', 'pummelo', 'soursop']"
egg (weighted),"['crab', 'milk', 'cheese', 'shrimp', 'butter', 'wholewheat bread', 'rum', 'crayfish', 'yogurt', 'coffee']"
egg (n. moledules),"['coffee', 'tea', 'potato', 'beer', 'rice', 'soybean', 'chocolate', 'cocoa', 'parmesan cheese', 'cheddar cheese']"
egg (word emb.),"['cream cheese', 'limburger cheese', 'munster cheese', 'rocket salad', 'tobacco', 'emmental cheese', 'wheaten bread', 'sheep cheese', 'sapodilla', 'valerian']"
eggplant (weighted),"['zucchini', 'beetroot', 'brussels sprout', 'chard', 'pistachio', 'cashew nut', 'dandelion', 'turnip', 'chickpea', 'rutabaga']"
eggplant (n. moledules),"['pepper', 'carrot', 'walnut', 'tomato', 'dill', 'green beans', 'tea', 'broccoli', 'orange', 'lettuce']"
eggplant (word emb.),"['romano cheese', 'oregano', 'artichoke', 'plum', 'olive', 'basil', 'mozzarella cheese', 'chickpea', 'chard', 'spinach']"
elderberry (weighted),"['radish', 'tamarind', 'sunflower', 'mung bean', 'dates', 'sweet potato', 'cottonseed', 'chicory', 'horseradish', 'dandelion']"
elderberry (n. moledules),"['tea', 'papaya', 'grape', 'guava', 'apple', 'black currant', 'pepper', 'ginger', 'tomato', 'mango']"
elderberry (word emb.),"['loganberry', 'black raspberry', 'plum brandy', 'blackberry brandy', 'red raspberry', 'satsuma orange', 'black currant', 'white currant', 'gooseberry', 'loquat']"
emmental cheese (weighted),"['mozzarella cheese', 'munster cheese', 'roquefort cheese', 'cottage cheese', 'romano cheese', 'cream cheese', 'comte cheese', 'limburger cheese', 'provolone cheese', 'goat cheese']"
emmental cheese (n. moledules),"['gruyere cheese', 'swiss cheese', 'camembert cheese', 'feta cheese', 'cheese', 'goat cheese', 'parmesan cheese', 'roquefort cheese', 'mozzarella cheese', 'provolone cheese']"
emmental cheese (word emb.),"['comte cheese', 'limburger cheese', 'munster cheese', 'wheaten bread', 'valerian', 'japanese pumpkin', 'garden cress', 'fatty fish', 'pummelo', 'bilberry']"
endive (weighted),"['sweet potato', 'mung bean', 'spinach', 'artichoke', 'dandelion', 'radish', 'japanese pumpkin', 'dates', 'watercress', 'chard']"
endive (n. moledules),"['tea', 'guava', 'grape', 'green beans', 'soybean', 'rice', 'tomato', 'mango', 'beans', 'apple']"
endive (word emb.),"['watercress', 'chicory', 'roquefort cheese', 'dandelion', 'champagne', 'blue cheese', 'tarragon', 'chervil', 'pomegranate', 'beetroot']"
eucalyptus (weighted),"['citrus zest', 'myrtle', 'citrus', 'mace', 'lavender', 'sassafras', 'citronella', 'bourbon whisky', 'nigella seed', 'ricotta cheese']"
eucalyptus (n. moledules),"['nutmeg', 'black pepper', 'ginger', 'rosemary', 'spearmint', 'celery', 'black currant', 'laurel', 'lovage', 'marjoram']"
eucalyptus (word emb.),"['chamomile', 'bergamot', 'lemon balm', 'spearmint', 'lavender', 'angelica', 'blackberry brandy', 'geranium', 'sour cherry', 'citronella']"
fatty fish (weighted),"['truffle', 'caviar', 'malt', 'lean fish', 'white pepper', 'rum', 'kidney beans', 'coffee', 'butter', 'beer']"
fatty fish (n. moledules),"['rice', 'coffee', 'beer', 'tea', 'rum', 'tomato', 'soybean', 'potato', 'cocoa', 'mushroom']"
fatty fish (word emb.),"['valerian', 'pummelo', 'japanese whisky', 'bilberry', 'litchi', 'limburger cheese', 'wild cherry', 'feijoa', 'canadian whisky', 'white currant']"
feijoa (weighted),"['chervil', 'jackfruit', 'alfalfa', 'pumpkin', 'rye', 'wasabi', 'cassava', 'shiitake', 'artichoke', 'sapodilla']"
feijoa (n. moledules),"['raspberry', 'ginger', 'banana', 'guava', 'leek', 'melon', 'strawberry', 'coconut', 'apple', 'rice']"
feijoa (word emb.),"['soursop', 'japanese whisky', 'pummelo', 'litchi', 'cherimoya', 'bilberry', 'valerian', 'canadian whisky', 'white currant', 'sapodilla']"
fennel (weighted),"['coriander', 'parsley', 'black pepper', 'cumin', 'parsnip', 'dill', 'turmeric', 'lemon', 'oregano', 'tarragon']"
fennel (n. moledules),"['dill', 'black pepper', 'coriander', 'celery', 'basil', 'rosemary', 'parsley', 'cinnamon', 'carrot', 'oregano']"
fennel (word emb.),"['capers', 'parsley', 'marjoram', 'rosemary', 'saffron', 'shallot', 'rose', 'scallop', 'tarragon', 'plum']"
fenugreek (weighted),"['borage', 'capers', 'dandelion', 'mung bean', 'arrowroot', 'watercress', 'water chestnut', 'alfalfa', 'chard', 'kelp']"
fenugreek (n. moledules),"['tea', 'soybean', 'chocolate', 'cocoa', 'peanut', 'rice', 'peanut butter', 'potato', 'guava', 'green beans']"
fenugreek (word emb.),"['curry leaf', 'asafoetida', 'basmati rice', 'nigella seed', 'mustard oil', 'paneer', 'coriander', 'cardamom', 'tamarind', 'lentils']"
fermented tea (weighted),"['black tea', 'green tea', 'bonito', 'coffee', 'malt', 'corn oil', 'cocoa', 'kidney beans', 'soybean', 'cloudberry']"
fermented tea (n. moledules),"['black tea', 'tea', 'green tea', 'white wine', 'bonito', 'rice', 'asparagus', 'saffron', 'coffee', 'canola oil']"
fermented tea (word emb.),"['sapodilla', 'valerian', 'pummelo', 'fatty fish', 'bilberry', 'wheaten bread', 'japanese whisky', 'cloudberry', 'litchi', 'limburger cheese']"
feta cheese (weighted),"['goat cheese', 'sheep cheese', 'romano cheese', 'roquefort cheese', 'munster cheese', 'mozzarella cheese', 'provolone cheese', 'emmental cheese', 'comte cheese', 'cream cheese']"
feta cheese (n. moledules),"['cheddar cheese', 'swiss cheese', 'blue cheese', 'gruyere cheese', 'camembert cheese', 'romano cheese', 'parmesan cheese', 'provolone cheese', 'cottage cheese', 'cheese']"
